City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,73.71,73,49,20.18,scattered clouds
1,Bredasdorp,ZA,-34.5322,20.0403,55.81,69,0,16.15,clear sky
2,Solton,RU,52.8429,86.4787,58.26,76,13,3.56,few clouds
3,Pisco,PE,-13.7,-76.2167,60.85,82,11,14.97,mist
4,Qaanaaq,GL,77.484,-69.3632,40.5,69,19,3.04,few clouds
5,Vardo,NO,70.3705,31.1107,48.18,87,100,6.91,overcast clouds
6,Airai,TL,-8.9266,125.4092,61.77,52,88,4.23,overcast clouds
7,Ilulissat,GL,69.2167,-51.1,53.62,43,40,11.5,scattered clouds
8,Nara,JP,34.6851,135.8049,89.49,46,20,5.57,few clouds
9,Hilo,US,19.7297,-155.09,85.28,71,20,5.99,few clouds
10,Longyearbyen,SJ,78.2186,15.6401,42.64,81,75,13.8,broken clouds
11,Port Elizabeth,ZA,-33.918,25.5701,64.31,68,0,9.22,clear sky
12,Fortuna,US,40.5982,-124.1573,69.93,77,20,14.97,few clouds
13,Kodiak,US,57.79,-152.4072,63.91,52,0,5.75,clear sky
14,Coxim,BR,-18.5067,-54.76,75.31,29,11,3.29,few clouds
15,Punta Arenas,CL,-53.15,-70.9167,39.31,87,40,16.11,light rain
16,Tsabong,BW,-26.0217,22.401,65.89,26,73,16.15,broken clouds
17,Lorengau,PG,-2.0226,147.2712,82.76,79,56,14.07,broken clouds
18,Bati,ET,11.1833,40.0167,66.22,77,89,5.5,moderate rain
19,Tuatapere,NZ,-46.1333,167.6833,45.36,81,94,3.42,overcast clouds
20,Hermanus,ZA,-34.4187,19.2345,59.81,78,48,19.06,scattered clouds
21,Nouakchott,MR,18.0858,-15.9785,80.53,85,4,20.42,clear sky
22,Hobart,AU,-42.8794,147.3294,46.26,69,40,12.66,scattered clouds
23,Tasiilaq,GL,65.6145,-37.6368,41.16,95,100,3.31,overcast clouds
24,Saskylakh,RU,71.9167,114.0833,60.91,89,100,4.85,overcast clouds
25,Salalah,OM,17.0151,54.0924,77.09,88,75,6.91,broken clouds
26,Natal,BR,-5.795,-35.2094,75.0,84,9,8.66,clear sky
27,Buloh Kasap,MY,2.5536,102.764,76.68,91,68,2.01,broken clouds
28,Victoria,HK,22.2855,114.1577,89.96,81,93,3.0,overcast clouds
29,Bethel,US,41.3712,-73.414,82.15,85,93,4.16,overcast clouds
30,Castro,BR,-24.7911,-50.0119,59.77,67,100,4.85,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,57.88,81,76,11.01,broken clouds
32,Azare,NG,11.6765,10.1948,73.6,79,86,6.85,overcast clouds
33,Preobrazheniye,RU,42.9019,133.9064,75.04,79,94,6.98,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,58.01,63,97,12.48,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,40.66,75,40,17.27,scattered clouds
36,Provideniya,RU,64.3833,-173.3,50.36,100,75,8.99,fog
37,Mataura,NZ,-46.1927,168.8643,47.48,88,84,3.0,broken clouds
38,Saint-Philippe,RE,-21.3585,55.7679,65.79,82,18,7.02,few clouds
39,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,67.55,76,94,6.33,overcast clouds
40,Tonk,IN,26.1667,75.7833,80.29,78,99,6.2,overcast clouds
41,Khatanga,RU,71.9667,102.5,67.59,52,31,3.09,scattered clouds
42,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,100,12.66,overcast clouds
43,Sentjur,SI,46.2172,15.3975,69.94,78,76,2.95,broken clouds
44,Ribeira Grande,PT,38.5167,-28.7,73.29,79,14,4.16,few clouds
45,Barrow,US,71.2906,-156.7887,33.82,100,100,16.11,overcast clouds
46,Asau,RO,46.4333,26.4,67.28,85,100,2.46,moderate rain
47,Busselton,AU,-33.65,115.3333,57.76,68,87,15.14,overcast clouds
48,East London,ZA,-33.0153,27.9116,68.04,59,9,14.45,clear sky
49,Port Alfred,ZA,-33.5906,26.891,67.17,59,1,1.99,clear sky
50,Bluff,NZ,-46.6,168.3333,47.8,79,88,14.88,overcast clouds
51,Arman,RU,59.7,150.1667,53.02,94,100,5.68,light rain
52,Cairns,AU,-16.9167,145.7667,73.06,56,10,12.66,clear sky
53,Nikolskoye,RU,59.7035,30.7861,57.79,97,38,4.32,scattered clouds
54,Katsina,NG,12.9894,7.6006,73.92,81,96,4.72,overcast clouds
55,Vaini,TO,-21.2,-175.2,80.76,89,40,11.5,scattered clouds
56,Porto Novo,BJ,6.4965,2.6036,76.08,78,100,7.7,overcast clouds
57,Pitimbu,BR,-7.4706,-34.8086,73.99,83,14,9.04,few clouds
58,Atuona,PF,-9.8,-139.0333,76.5,78,35,23.62,light rain
59,Broome,US,42.2506,-75.833,76.08,81,0,3.44,clear sky
60,Edd,ER,13.9297,41.6925,93.63,48,92,6.02,overcast clouds
61,Gigmoto,PH,13.7796,124.39,83.39,79,99,5.23,light rain
62,Pevek,RU,69.7008,170.3133,41.11,75,96,4.5,overcast clouds
63,Sumbe,AO,-11.2061,13.8437,67.84,87,96,6.13,overcast clouds
64,Abu Samrah,SY,35.3029,37.1841,80.22,30,0,6.33,clear sky
65,Shimoda,JP,34.6667,138.95,89.1,75,45,4.36,scattered clouds
66,Ancud,CL,-41.8697,-73.8203,45.23,78,100,4.27,overcast clouds
67,New Norfolk,AU,-42.7826,147.0587,45.9,59,13,6.08,few clouds
68,Jamestown,US,42.097,-79.2353,76.95,45,20,9.22,few clouds
69,Leningradskiy,RU,69.3833,178.4167,42.8,74,98,8.39,overcast clouds
70,Cayenne,GF,4.9333,-52.3333,76.08,1,100,9.22,overcast clouds
71,Kaka,TM,37.3482,59.6143,84.15,23,11,2.84,few clouds
72,Isiro,CD,2.7739,27.616,66.11,98,100,1.86,light rain
73,Suruc,TR,36.9761,38.425,85.01,26,0,8.68,clear sky
74,Torbay,CA,47.6666,-52.7314,55.76,90,95,11.01,overcast clouds
75,Asfi,MA,32.2994,-9.2372,70.23,90,0,13.42,clear sky
76,Shellbrook,CA,53.2168,-106.4011,76.91,45,6,6.89,clear sky
77,Ostrovnoy,RU,68.0531,39.5131,50.34,89,87,13.24,overcast clouds
78,Katsuura,JP,35.1333,140.3,83.62,78,64,9.91,broken clouds
79,Butaritari,KI,3.0707,172.7902,81.86,72,57,15.75,broken clouds
80,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,74.46,91,82,1.88,broken clouds
81,Atar,MR,20.5169,-13.0499,95.54,28,0,8.66,clear sky
82,Olutanga,PH,7.3106,122.8464,83.21,70,100,2.93,light rain
83,Dutse,NG,11.7594,9.3392,74.28,76,91,7.45,overcast clouds
84,Kaeo,NZ,-35.1,173.7833,65.32,79,21,8.59,few clouds
85,Kapaa,US,22.0752,-159.319,87.78,71,40,9.22,scattered clouds
86,Nanortalik,GL,60.1432,-45.2371,43.74,88,56,4.5,broken clouds
87,Sile,TR,41.1754,29.6133,74.57,74,0,4.0,clear sky
88,Kumano,JP,34.3442,132.5894,85.12,75,0,4.41,clear sky
89,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,81,14,3.58,few clouds
90,Chuy,UY,-33.6971,-53.4616,48.11,78,83,14.67,broken clouds
91,Evanston,US,42.0411,-87.6901,79.05,51,75,10.36,broken clouds
92,Touros,BR,-5.1989,-35.4608,75.63,83,12,11.86,few clouds
93,Lusambo,CD,-4.9667,23.45,68.49,49,42,0.13,scattered clouds
94,Meulaboh,ID,4.1363,96.1285,74.73,95,99,3.69,light rain
95,Klaksvik,FO,62.2266,-6.589,52.72,90,97,15.88,overcast clouds
96,Rio Gallegos,AR,-51.6226,-69.2181,41.05,75,0,28.77,clear sky
97,Kangaatsiaq,GL,68.3065,-53.4641,40.89,87,100,4.09,overcast clouds
98,Harper,LR,4.375,-7.7169,74.1,77,80,9.06,broken clouds
99,Port Stanley,FK,-51.7,-57.85,41.29,80,100,25.86,overcast clouds
100,Dromolaxia,CY,34.8761,33.586,83.98,69,0,5.75,clear sky
101,San Quintin,MX,30.4833,-115.95,72.37,70,19,11.41,few clouds
102,Tual,ID,-5.6667,132.75,78.42,87,78,21.3,broken clouds
103,Narsaq,GL,60.9167,-46.05,52.02,71,33,3.13,scattered clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,71.44,82,17,26.13,few clouds
105,Upernavik,GL,72.7868,-56.1549,43.2,71,100,6.26,overcast clouds
106,Albany,US,42.6001,-73.9662,79.57,75,74,8.84,broken clouds
107,Makow Mazowiecki,PL,52.8649,21.1005,55.71,92,30,5.12,scattered clouds
108,Iquique,CL,-20.2208,-70.1431,59.04,80,23,5.37,few clouds
109,Saint-Francois,FR,46.4154,3.9054,63.84,72,0,3.44,clear sky
110,Kashi,CN,39.4547,75.9797,87.19,18,71,10.6,broken clouds
111,Alexandria,EG,31.2156,29.9553,79.86,66,0,6.2,clear sky
112,Bandiagara,ML,14.3501,-3.6104,78.35,64,95,9.06,light rain
113,Krasnovishersk,RU,60.4078,57.082,54.14,80,5,2.26,clear sky
114,Chokurdakh,RU,70.6333,147.9167,57.02,34,100,13.82,overcast clouds
115,Half Moon Bay,US,37.4636,-122.4286,77.86,72,100,19.57,mist
116,Cabo San Lucas,MX,22.8909,-109.9124,93.61,55,40,13.8,scattered clouds
117,Uzunovo,RU,54.5386,38.6173,62.65,96,99,11.03,overcast clouds
118,Lebu,CL,-37.6167,-73.65,48.72,86,0,16.87,clear sky
119,Wavre,BE,50.7333,4.6,65.39,59,100,5.75,overcast clouds
120,Georgetown,MY,5.4112,100.3354,81.9,84,40,0.0,scattered clouds
121,Vila Velha,BR,-20.3297,-40.2925,71.94,82,0,5.99,clear sky
122,Mantua,IT,45.1667,10.7833,74.08,77,74,3.0,broken clouds
123,Havelock,US,34.8791,-76.9013,85.98,86,97,7.0,overcast clouds
124,Wanlaweyn,SO,2.6185,44.8938,72.41,85,12,11.52,few clouds
125,Sitka,US,57.0531,-135.33,58.89,88,100,8.05,light rain
126,Krasnoselkup,RU,65.7,82.4667,56.5,72,0,8.79,clear sky
127,Hadejia,NG,12.4498,10.0444,76.84,71,100,7.45,overcast clouds
128,Cap Malheureux,MU,-19.9842,57.6142,69.48,74,1,1.99,clear sky
129,Codrington,AU,-38.2667,141.9667,49.71,71,22,0.38,few clouds
130,San Carlos De Bariloche,AR,-41.1456,-71.3082,30.36,92,78,6.58,broken clouds
131,Palmas De Monte Alto,BR,-14.2672,-43.1619,70.56,54,0,6.87,clear sky
132,Inirida,CO,3.8653,-67.9239,73.4,95,95,2.8,overcast clouds
133,Hofn,IS,64.2539,-15.2082,51.76,91,100,2.44,overcast clouds
134,Kaitangata,NZ,-46.2817,169.8464,45.68,82,75,9.53,broken clouds
135,Greve Strand,DK,55.5834,12.2999,56.23,88,36,5.75,scattered clouds
136,Sao Filipe,CV,14.8961,-24.4956,79.41,73,11,15.43,few clouds
137,Esso,RU,55.9333,158.7,56.88,68,98,4.83,overcast clouds
138,Jiangyou,CN,31.7667,104.7167,77.92,78,0,3.24,clear sky
139,Thompson,CA,55.7435,-97.8558,77.36,28,67,2.95,broken clouds
140,Cherskiy,RU,68.75,161.3,60.85,37,6,4.05,clear sky
141,Alta Floresta,BR,-9.8756,-56.0861,73.51,36,5,1.68,clear sky
142,Thinadhoo,MV,0.5333,72.9333,81.93,74,79,12.68,broken clouds
143,Tateyama,JP,34.9833,139.8667,85.1,82,36,9.46,scattered clouds
144,Mala,PE,-12.6581,-76.6308,61.18,84,25,1.43,scattered clouds
145,Sumter,US,28.7086,-82.0831,89.2,69,70,8.41,broken clouds
146,Calabozo,VE,8.9242,-67.4293,74.62,93,50,2.24,scattered clouds
147,Vrangel,RU,42.7297,133.0839,72.37,88,100,3.76,overcast clouds
148,Matamba,TZ,-8.9833,33.9667,47.84,89,29,4.79,scattered clouds
149,Baykit,RU,61.67,96.37,64.81,95,100,4.83,overcast clouds
150,Esperance,AU,-33.8667,121.9,58.64,80,51,14.63,broken clouds
151,Floresti,MD,47.8933,28.3014,68.16,53,99,3.71,overcast clouds
152,Burnie,AU,-41.0667,145.9167,41.94,72,5,7.61,clear sky
153,Luderitz,NA,-26.6481,15.1594,52.93,87,67,2.77,broken clouds
154,Hun,LY,29.1268,15.9477,83.1,31,0,6.96,clear sky
155,Tura,IN,25.5198,90.2201,74.3,94,63,2.68,light rain
156,Sola,VU,-13.8833,167.55,79.9,79,55,13.85,broken clouds
157,High Level,CA,58.5169,-117.136,77.11,61,75,11.5,light intensity shower rain
158,Tevaitoa,PF,-16.7833,-151.5,79.11,74,2,23.02,clear sky
159,Carndonagh,IE,55.25,-7.2667,54.45,91,61,4.07,broken clouds
160,High Rock,BS,26.6208,-78.2833,83.95,72,20,15.68,few clouds
161,Otukpo,NG,7.1913,8.1329,69.82,98,100,4.09,overcast clouds
162,Pokhara,NP,28.2333,83.9833,71.19,84,99,2.08,overcast clouds
163,Wundanyi,KE,-3.4019,38.364,57.42,87,49,5.88,scattered clouds
164,Lagoa,PT,39.05,-27.9833,71.83,77,1,3.31,clear sky
165,Muros,ES,42.7762,-9.0603,66.09,84,1,4.56,clear sky
166,Nikolo-Pavlovskoye,RU,57.7831,60.0578,50.95,93,79,4.79,broken clouds
167,Port Lincoln,AU,-34.7333,135.8667,54.66,83,100,13.8,overcast clouds
168,Kloulklubed,PW,7.0419,134.2556,82.9,75,88,10.54,overcast clouds
169,Mar Del Plata,AR,-38.0023,-57.5575,48.09,91,100,18.01,overcast clouds
170,Mecca,SA,21.4267,39.8261,90.0,30,86,3.31,overcast clouds
171,Uri,IN,34.0833,74.0333,70.34,98,93,1.77,overcast clouds
172,Saint George,US,37.1041,-113.5841,97.39,31,0,10.36,clear sky
173,Soma,TR,39.1855,27.6094,66.92,86,0,8.14,clear sky
174,Aksu,CN,41.1231,80.2644,81.3,35,75,4.45,broken clouds
175,Atambua,ID,-9.1061,124.8925,73.2,62,81,5.97,broken clouds
176,Taltal,CL,-25.4,-70.4833,59.31,79,85,2.26,overcast clouds
177,Cascais,PT,38.6979,-9.4215,69.48,73,0,25.01,clear sky
178,Avarua,CK,-21.2078,-159.775,78.85,73,75,24.16,broken clouds
179,Caravelas,BR,-17.7125,-39.2481,69.49,82,2,7.11,clear sky
180,Polis,CY,35.0367,32.4264,75.02,53,0,2.73,clear sky
181,Mahebourg,MU,-20.4081,57.7,69.26,78,6,10.67,clear sky
182,Hithadhoo,MV,-0.6,73.0833,81.41,74,98,13.8,overcast clouds
183,Atbasar,KZ,51.8,68.3333,62.73,89,100,7.56,overcast clouds
184,Saldanha,ZA,-33.0117,17.9442,56.73,82,56,17.72,broken clouds
185,Axim,GH,4.8699,-2.2405,75.33,77,73,11.72,broken clouds
186,Chapais,CA,49.7834,-74.8492,64.18,90,83,4.74,broken clouds
187,Pochutla,MX,15.7432,-96.4661,84.81,79,75,2.06,broken clouds
188,Port Blair,IN,11.6667,92.75,81.21,80,45,3.18,scattered clouds
189,Faanui,PF,-16.4833,-151.75,79.29,73,6,22.19,clear sky
190,Waitati,NZ,-45.75,170.5667,47.8,68,70,6.6,broken clouds
191,Husavik,IS,66.0449,-17.3389,49.57,84,46,4.41,scattered clouds
192,Trelleborg,SE,55.3751,13.1569,55.35,74,30,4.74,scattered clouds
193,Sale,MA,34.0389,-6.8166,72.75,100,20,3.44,few clouds
194,Hami,CN,42.8,93.45,87.33,13,94,10.76,overcast clouds
195,Hasaki,JP,35.7333,140.8333,86.4,78,35,12.17,scattered clouds
196,Ponta Delgada,PT,37.7333,-25.6667,72.32,78,75,4.61,broken clouds
197,Margate,GB,51.3813,1.3862,63.7,79,73,1.99,broken clouds
198,Areosa,PT,41.7178,-8.8571,62.67,92,0,10.85,clear sky
199,Tabas,IR,33.5959,56.9244,90.79,22,66,2.37,broken clouds
200,Port Shepstone,ZA,-30.7414,30.455,63.36,86,70,8.39,broken clouds
201,Norman Wells,CA,65.282,-126.8329,63.66,48,71,4.03,broken clouds
202,Morondava,MG,-20.2833,44.2833,68.54,77,0,4.0,clear sky
203,Terney,RU,45.0503,136.6092,77.11,78,92,4.76,overcast clouds
204,Daura,NG,11.5538,11.4085,74.53,79,75,7.02,broken clouds
205,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,89,11,3.29,few clouds
206,Kirakira,SB,-10.4544,161.9205,82.31,77,58,8.21,broken clouds
207,Berlevag,NO,70.8578,29.0864,48.2,87,100,10.36,light intensity drizzle
208,Jining,CN,35.405,116.5814,79.0,1,8,2.53,clear sky
209,Nipawin,CA,53.3668,-104.0009,73.62,51,14,8.03,few clouds
210,Olafsvik,IS,64.8945,-23.7142,44.91,76,90,16.13,overcast clouds
211,Taoudenni,ML,22.6783,-3.9836,105.17,13,76,7.9,broken clouds
212,Valparaiso,CL,-33.0393,-71.6273,58.64,71,0,2.3,clear sky
213,Pimentel,PE,-6.8367,-79.9342,62.73,85,24,14.27,few clouds
214,Gimli,CA,50.6336,-96.9907,68.59,64,44,9.89,scattered clouds
215,Grindavik,IS,63.8424,-22.4338,46.87,93,100,12.66,overcast clouds
216,Takab,IR,36.4009,47.1133,68.27,65,0,4.5,clear sky
217,Ekibastuz,KZ,51.6667,75.3667,70.09,58,42,4.38,scattered clouds
218,Cururupu,BR,-1.8283,-44.8683,74.52,90,25,3.31,scattered clouds
219,Mocajuba,BR,-2.5842,-49.5072,79.86,58,54,2.84,broken clouds
220,Bilibino,RU,68.0546,166.4372,57.49,42,20,11.7,few clouds
221,Esmeralda,CU,21.8525,-78.1169,78.78,80,7,10.78,clear sky
222,Muchkapskiy,RU,51.8513,42.4717,66.72,77,62,6.53,broken clouds
223,Lata,PT,40.1629,-8.3327,58.19,98,2,2.98,clear sky
